"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45440522527.4884;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440522527.4884;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440522527.4884;1;1;3;240001;;;;;;;;;"28.05.2024 12:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440529471.7477;1;1;3;240001;;;;;;;;;"28.05.2024 12:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440529471.7477;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440529471.7477;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440536416.9097;1;1;3;240001;;;;;;;;;"28.05.2024 12:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440536416.9097;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440536416.9097;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440543360.9954;1;1;3;240001;;;;;;;;;"28.05.2024 13:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440543360.9954;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 13:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440543360.9954;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 13:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440550305.2662;1;1;3;240001;;;;;;;;;"28.05.2024 13:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
