"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45527557430.3819;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****205";;;;;;;;"23.08.2024 13:22:42";"Programm/Schrittnummer Status des VM ist : 20*****205";
45527557436.6088;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****205";;;;;;;;"23.08.2024 13:22:43";"Programm/Schrittnummer Status des BM ist : 20*****205";
45527557441.8403;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****235";;;;;;;;"23.08.2024 13:22:43";"Programm/Schrittnummer Status des VM ist : 20*****235";
45527557448.2176;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****235";;;;;;;;"23.08.2024 13:22:44";"Programm/Schrittnummer Status des BM ist : 20*****235";
45527557453.3565;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****240";;;;;;;;"23.08.2024 13:22:44";"Programm/Schrittnummer Status des VM ist : 20*****240";
45527557459.7685;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****240";;;;;;;;"23.08.2024 13:22:45";"Programm/Schrittnummer Status des BM ist : 20*****240";
45527557511.2847;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****245";;;;;;;;"23.08.2024 13:22:49";"Programm/Schrittnummer Status des VM ist : 20*****245";
45527557517.6505;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****245";;;;;;;;"23.08.2024 13:22:50";"Programm/Schrittnummer Status des BM ist : 20*****245";
45527558316.2616;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 2*****290";;;;;;;;"23.08.2024 13:23:59";"Programm/Schrittnummer Status des BM ist : 2*****290";
45527558316.2616;1;1;3;60000;"Anlagezustand-BM : Bereit für Beschichtung ";;;;;;;;"23.08.2024 13:23:59";"Anlagezustand-BM : Bereit für Beschichtung ";
