Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
9297;1246;1161;1665;4071
9298;5054;4454;3905;13410
9299;1451;2773;2173;6397
9300;2617;2114;2599;7330
9301;2414;2420;2634;7468
9302;2408;2385;2791;7584
9303;1868;1642;1855;5365
9304;2781;4380;4445;11610
9305;2110;2527;1032;5669
9306;2956;3354;2696;9006
9307;1850;1347;1404;4600
9308;4564;5649;5116;15330
9309;1763;1176;2588;5528
9310;4671;4971;4579;14220
9311;1836;1433;2219;5487
9312;2397;4697;3486;10580
9313;2827;1984;1607;6418
9314;2365;1998;1583;5945
9315;1642;2277;2598;6517
9316;1227;489.9;1101;2818
9317;2443;4079;3163;9686
9318;1818;1634;2001;5452
9319;1500;747.6;212.6;2460
9320;3585;4072;5763;13420
9321;1808;1854;213.1;3876
9322;4810;3788;5393;13990
9323;1904;1146;739.4;3789
9324;2272;3046;2471;7789
9325;1856;2978;2561;7395
9326;3252;4101;2167;9520
9327;4047;3983;3140;11170
9328;2146;1117;2509;5772
9329;5034;3624;3206;11860
9330;1867;2781;2948;7596
9331;3364;2355;2501;8219
9332;2376;2479;2401;7257
9333;2498;2476;4430;9405
9334;3568;4255;2106;9930
9335;1524;1926;2674;6124
9336;1749;1669;1738;5156
9337;3379;4005;1916;3809
9338;2712;3375;3420;9507
9339;1106;2052;2304;5462
9340;2495;2670;3257;8422
9341;2437;2281;3006;7724
9342;3232;3628;3955;10810
9343;1944;1236;1444;4625
9344;3297;5221;4617;13140
9345;1537;170;1942;3649
9346;1537;170;1942;3649
9347;2719;3034;2798;8551
9348;2719;3034;2798;8551
9349;2882;3375;3858;10120
9350;1731;1778;1239;4748
9351;2953;2291;2153;7397
9352;977.5;168.9;211.1;1357
9353;4447;2556;5626;12630
9354;2662;2141;437.3;5240
9355;2161;2573;3253;7988
9356;2788;1723;1467;5978
9357;2210;3292;2620;8122
9358;1381;1067;1790;4238
9359;3436;3393;2074;8903
9360;1824;1905;2322;6051
9361;2568;2788;2457;7812
9362;2831;5277;4675;12780
9363;2288;2363;1170;5821
9364;3884;2466;4634;10980
9365;1845;1587;2724;6156
9366;6246;4685;4624;15550
9367;2221;1968;2441;6631
9368;3273;2340;2567;8180
9369;2509;3727;2757;8993
9370;2900;2838;3284;9022
9371;2838;3998;2669;9506
9372;2755;3691;2918;9364
9373;2207;1522;1630;5358
9374;2404;1033;2322;5760
9375;3192;3871;3426;10490
9376;754.8;196.9;210.8;1163
9377;2073;2712;3751;8537
9378;1957;1766;1108;4831
9379;2460;3578;3886;9924
9380;1620;879.8;1538;4038
9381;2369;3506;2316;8190
9382;1972;2573;3770;8315
9383;3593;3974;3254;10820
9384;2806;2329;3494;8628
9385;3497;2935;4037;10470
9386;1057;838.9;211.2;2108
9387;2327;3917;2925;9169
9388;3671;2655;3231;9558
9389;3031;1805;2925;7761
9390;2637;2232;2063;6932
9391;3976;3471;3868;11310
9392;1479;1391;1518;4388
9393;2767;3037;3152;8956
9394;2096;820.7;1766;4683
9395;4109;4019;5655;13780
9396;4292;3798;4796;12890
9397;2129;2617;2176;6923
9398;3312;2684;2823;8819
9399;3265;2970;1892;8127
9400;2492;2599;3024;8115
9401;2488;3004;3658;9149
9402;4741;3664;3274;11680
9403;704.1;2157;713.6;3575
9404;3703;2974;3651;10330
9405;1635;2594;1437;5666
9406;3636;3179;5795;12610
9407;2254;2861;1357;6819
9408;1050;1084;429.6;2564
9409;4715;2573;4145;11430
9410;1295;1714;1503;4512
9411;2588;2658;2119;7365
9412;1610;763.7;2301;4674
9413;940.2;1248;1439;3627
9414;4317;2558;2487;9362
9415;702.4;854.6;710.8;2268
9416;2581;1454;2040;6075
9417;889.5;2593;3505;6987
9418;2197;2445;2917;7558
9419;2499;2983;2544;8026
9420;3390;1966;3309;8665
9421;3398;3123;3825;10350
9422;1764;1658;1293;4715
9423;3464;4456;4410;12330
9424;1155;168.4;211.4;1535
9425;2591;2351;4042;8984
9426;2733;2478;1270;6482
9427;3691;2456;3148;9295
9428;2031;2113;2074;6218
9429;3394;2467;2913;8774
9430;4167;3406;5717;13290
9431;2560;2102;4628;9290
9432;4012;3353;3956;11320
9433;4001;1487;3626;9114
9434;2824;2567;2792;8182
9435;2966;4951;2137;10050
9436;2767;3885;4486;11140
9437;1092;284.9;535.7;1913
9438;4634;3935;4679;13250
9439;223.1;1737;1868;3828
9440;3858;4431;3884;12170
9441;1900;2901;2402;7203
9442;2436;2655;2802;6993
9443;2423;1458;2854;6736
9444;2289;3280;2544;8113
9445;4218;2027;3434;9680
9446;666;835.8;214.6;1716
9447;2434;2471;1651;6557
9448;2277;1933;1923;6134
9449;1355;1641;2960;5956
9450;3448;2501;1922;7870
9451;1051;774.7;995.9;2822
9452;3617;1794;2717;8128
9453;989.7;2524;1308;4821
9454;3094;4086;1978;9157
9455;3964;3260;5038;12260
9456;2347;744.6;472.6;3565
9457;4418;6522;6219;17160
9458;1888;1772;711.4;4372
9459;3159;4236;2819;10210
9460;2988;1687;3674;8349
9461;3117;3435;3714;10270
9462;4397;3473;3540;11410
9463;2379;3157;3450;8986
9464;1624;1229;1502;4355
9465;4806;4939;4682;14430
9466;3944;4678;4020;12640
9467;1722;1950;1651;5323
